Product_ID,Date,Price ($),Quantity Demanded
1,2024-01-01,1228,21
1,2024-01-02,1060,28
1,2024-01-03,901,34
1,2024-01-04,1220,21
1,2024-01-05,1051,28
1,2024-01-06,965,31
1,2024-01-07,1453,12
1,2024-01-08,875,35
1,2024-01-09,1489,10
1,2024-01-10,1062,27
1,2024-01-11,1006,30
1,2024-01-12,865,35
1,2024-01-13,1129,25
1,2024-01-14,1470,11
1,2024-01-15,1111,25
1,2024-01-16,1295,18
1,2024-01-17,1026,29
1,2024-01-18,1013,29
1,2024-01-19,1370,15
1,2024-01-20,1498,10
1,2024-01-21,1434,12
1,2024-01-22,971,31
1,2024-01-23,1426,13
1,2024-01-24,950,32
1,2024-01-25,874,35
1,2024-01-26,1427,13
1,2024-01-27,1114,25
1,2024-01-28,1027,29
1,2024-01-29,1365,15
1,2024-01-30,1193,22
1,2024-01-31,1144,24
1,2024-02-01,1076,27
1,2024-02-02,1062,27
1,2024-02-03,1007,30
1,2024-02-04,984,31
1,2024-02-05,1106,26
1,2024-02-06,1203,22
1,2024-02-07,1065,27
1,2024-02-08,948,32
1,2024-02-09,1163,23
1,2024-02-10,860,36
1,2024-02-11,1313,17
1,2024-02-12,1008,30
1,2024-02-13,1174,23
1,2024-02-14,1095,26
1,2024-02-15,1231,21
1,2024-02-16,1410,13
1,2024-02-17,1024,29
1,2024-02-18,890,34
1,2024-02-19,829,37
1,2024-02-20,950,32
1,2024-02-21,844,36
1,2024-02-22,1481,10
1,2024-02-23,1312,17
1,2024-02-24,1388,14
1,2024-02-25,1215,21
1,2024-02-26,1489,10
1,2024-02-27,1485,10
1,2024-02-28,1241,20
1,2024-02-29,831,37
1,2024-03-01,1222,21
1,2024-03-02,1279,19
1,2024-03-03,1320,17
1,2024-03-04,1071,27
1,2024-03-05,1209,21
1,2024-03-06,951,32
1,2024-03-07,1011,30
1,2024-03-08,1371,15
1,2024-03-09,1215,21
1,2024-03-10,1422,13
1,2024-03-11,940,32
1,2024-03-12,1137,24
1,2024-03-13,1371,15
1,2024-03-14,958,32
1,2024-03-15,1124,25
1,2024-03-16,967,31
1,2024-03-17,1155,24
1,2024-03-18,1225,21
1,2024-03-19,1390,14
1,2024-03-20,1173,23
1,2024-03-21,997,30
1,2024-03-22,1304,18
1,2024-03-23,1372,15
1,2024-03-24,1375,15
1,2024-03-25,952,32
1,2024-03-26,1192,22
1,2024-03-27,848,36
1,2024-03-28,1373,15
1,2024-03-29,809,38
1,2024-03-30,1023,29
1,2024-03-31,1136,24
1,2024-04-01,1076,27
1,2024-04-02,1186,22
1,2024-04-03,1207,22
1,2024-04-04,1358,15
1,2024-04-05,1163,23
1,2024-04-06,1236,20
1,2024-04-07,871,35
1,2024-04-08,1366,15
1,2024-04-09,1412,13
1,2024-04-10,1299,18
1,2024-04-11,1230,21
1,2024-04-12,865,35
1,2024-04-13,814,38
1,2024-04-14,1409,13
1,2024-04-15,1002,30
1,2024-04-16,1356,16
1,2024-04-17,1273,19
1,2024-04-18,915,33
1,2024-04-19,1424,13
1,2024-04-20,851,36
1,2024-04-21,1488,10
1,2024-04-22,1467,11
1,2024-04-23,1051,28
1,2024-04-24,1379,15
1,2024-04-25,914,33
1,2024-04-26,1117,25
1,2024-04-27,1191,22
1,2024-04-28,1059,28
1,2024-04-29,970,31
1,2024-04-30,1418,13
1,2024-05-01,1436,12
1,2024-05-02,1344,16
1,2024-05-03,1184,23
1,2024-05-04,1085,27
1,2024-05-05,1194,22
1,2024-05-06,1437,12
1,2024-05-07,975,31
1,2024-05-08,1285,18
1,2024-05-09,1220,21
1,2024-05-10,861,36
1,2024-05-11,1376,15
1,2024-05-12,1407,13
1,2024-05-13,1009,30
1,2024-05-14,938,33
1,2024-05-15,1079,27
1,2024-05-16,1094,26
1,2024-05-17,1121,25
1,2024-05-18,1467,11
1,2024-05-19,1376,15
1,2024-05-20,1358,15
1,2024-05-21,999,30
1,2024-05-22,862,36
1,2024-05-23,1465,11
1,2024-05-24,912,34
1,2024-05-25,1345,16
1,2024-05-26,817,37
1,2024-05-27,842,36
1,2024-05-28,1387,14
1,2024-05-29,1139,24
1,2024-05-30,1293,18
1,2024-05-31,1291,18
1,2024-06-01,1325,17
1,2024-06-02,1251,20
1,2024-06-03,1458,11
1,2024-06-04,1249,20
1,2024-06-05,953,32
1,2024-06-06,1293,18
1,2024-06-07,1445,12
1,2024-06-08,1332,16
1,2024-06-09,1399,14
1,2024-06-10,1210,21
1,2024-06-11,957,32
1,2024-06-12,1321,17
1,2024-06-13,1161,23
1,2024-06-14,1297,18
1,2024-06-15,1003,30
1,2024-06-16,1499,10
1,2024-06-17,1005,30
1,2024-06-18,1442,12
1,2024-06-19,984,31
1,2024-06-20,814,38
1,2024-06-21,1376,15
1,2024-06-22,1072,27
1,2024-06-23,800,38
1,2024-06-24,1224,21
1,2024-06-25,1442,12
1,2024-06-26,1419,13
1,2024-06-27,1460,11
1,2024-06-28,1222,21
1,2024-06-29,1081,27
1,2024-06-30,1109,26
1,2024-07-01,1262,19
1,2024-07-02,1344,16
1,2024-07-03,1483,10
1,2024-07-04,1299,18
1,2024-07-05,1229,21
1,2024-07-06,942,32
1,2024-07-07,1314,17
1,2024-07-08,998,30
1,2024-07-09,960,32
1,2024-07-10,889,35
1,2024-07-11,1395,14
1,2024-07-12,870,35
1,2024-07-13,1431,12
1,2024-07-14,1120,25
1,2024-07-15,1460,11
